Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,123.5,-154.5,180,top
C2,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,140,-154.5,180,top
C3,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,160,-154.5,180,top
C4,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,180,-154.5,180,top
C5,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,200,-154.5,180,top
C6,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,219.5,-154.5,180,top
C7,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,239.5,-154.5,180,top
C8,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,259.5,-154.5,180,top
J1,IN,S3B-XH-SM4-TB,112.2,-156.09,180,top
J2,OUT,S3B-XH-SM4-TB,287.8,-156.09,180,top
LED1,WS2812B-4020,WS2812B-4020,130,-154.23,0,top
LED2,WS2812B-4020,WS2812B-4020,150,-154.23,0,top
LED3,WS2812B-4020,WS2812B-4020,170,-154.23,0,top
LED4,WS2812B-4020,WS2812B-4020,190,-154.23,0,top
LED5,WS2812B-4020,WS2812B-4020,210,-154.23,0,top
LED6,WS2812B-4020,WS2812B-4020,230,-154.23,0,top
LED7,WS2812B-4020,WS2812B-4020,250,-154.23,0,top
LED8,WS2812B-4020,WS2812B-4020,270,-154.23,0,top
Logo1,SpeedyLabs,logo_small,90,-150.04,90,top
Logo2,SpeedyLabs,logo_small,310,-150,-90,top
